benchmark,seed,shard,caseId,caseIndex,category,variant,taskSuccess,recoveryAttempted,recoverySuccess,modelCalls,duplicateModelCalls,toolEffects,duplicateToolEffects,unknownOutcome,evidenceRequired,evidenceProduced,evidenceCompleteness,latencyMs,inputTokens,outputTokens,costEstimateUsd,failureCodes
GATE-30,20260818,1/1,gate-30-001,0,crash-recovery,baseline,true,true,true,1,0,0,0,false,2,2,1,85,386,191,0.0023,
GATE-30,20260818,1/1,gate-30-002,1,crash-recovery,baseline,true,true,true,1,0,0,0,false,2,2,1,94,392,124,0.001776,
GATE-30,20260818,1/1,gate-30-003,2,crash-recovery,baseline,true,true,true,1,0,0,0,false,2,2,1,96,399,149,0.00199,
GATE-30,20260818,1/1,gate-30-004,3,crash-recovery,baseline,true,true,true,1,0,0,0,false,2,2,1,101,231,231,0.00231,
GATE-30,20260818,1/1,gate-30-005,4,crash-recovery,baseline,true,true,true,1,0,0,0,false,2,2,1,79,402,239,0.002716,
GATE-30,20260818,1/1,gate-30-006,5,crash-recovery,baseline,true,true,true,1,0,0,0,false,2,2,1,99,255,234,0.002382,
GATE-30,20260818,1/1,gate-30-007,6,parent-child,baseline,true,true,true,6,0,0,0,false,2,2,1,187,2010,810,0.0105,
GATE-30,20260818,1/1,gate-30-008,7,parent-child,baseline,true,true,true,4,0,0,0,false,2,2,1,178,1444,864,0.0098,
GATE-30,20260818,1/1,gate-30-009,8,parent-child,baseline,true,true,true,6,0,0,0,false,2,2,1,200,2154,678,0.009732,
GATE-30,20260818,1/1,gate-30-010,9,parent-child,baseline,true,true,true,4,0,0,0,false,2,2,1,163,2032,956,0.011712,
GATE-30,20260818,1/1,gate-30-011,10,parent-child,baseline,true,true,true,3,0,0,0,false,2,2,1,114,753,483,0.00537,
GATE-30,20260818,1/1,gate-30-012,11,parent-child,baseline,true,true,true,3,0,0,0,false,2,2,1,128,1284,711,0.008256,
GATE-30,20260818,1/1,gate-30-013,12,duplicate-delivery,baseline,true,false,,1,0,0,0,false,2,2,1,60,443,141,0.002014,
GATE-30,20260818,1/1,gate-30-014,13,duplicate-delivery,baseline,true,false,,1,0,0,0,false,2,2,1,66,295,95,0.00135,
GATE-30,20260818,1/1,gate-30-015,14,duplicate-delivery,baseline,true,false,,1,0,0,0,false,2,2,1,42,475,198,0.002534,
GATE-30,20260818,1/1,gate-30-016,15,duplicate-delivery,baseline,true,false,,1,0,0,0,false,2,2,1,55,412,210,0.002504,
GATE-30,20260818,1/1,gate-30-017,16,duplicate-delivery,baseline,true,false,,1,0,0,0,false,2,2,1,70,277,99,0.001346,
GATE-30,20260818,1/1,gate-30-018,17,duplicate-delivery,baseline,true,false,,1,0,0,0,false,2,2,1,55,376,143,0.001896,
GATE-30,20260818,1/1,gate-30-019,18,side-effect-safety,baseline,true,true,true,1,0,1,0,false,2,2,1,98,406,137,0.001908,
GATE-30,20260818,1/1,gate-30-020,19,side-effect-safety,baseline,true,true,true,1,0,1,0,false,2,2,1,88,454,131,0.001956,
GATE-30,20260818,1/1,gate-30-021,20,side-effect-safety,baseline,true,true,true,1,0,1,0,false,2,2,1,100,477,100,0.001754,
GATE-30,20260818,1/1,gate-30-022,21,side-effect-safety,baseline,true,true,true,1,0,1,0,false,2,2,1,107,235,150,0.00167,
GATE-30,20260818,1/1,gate-30-023,22,side-effect-safety,baseline,true,true,true,1,0,1,0,false,2,2,1,95,517,171,0.002402,
GATE-30,20260818,1/1,gate-30-024,23,side-effect-safety,baseline,true,true,true,1,0,1,0,false,2,2,1,100,478,86,0.001644,
GATE-30,20260818,1/1,gate-30-025,24,completion-quality,baseline,true,false,,1,0,0,0,false,3,3,1,55,482,80,0.001604,
GATE-30,20260818,1/1,gate-30-026,25,completion-quality,baseline,true,true,true,1,0,0,0,false,4,4,1,69,378,82,0.001412,
GATE-30,20260818,1/1,gate-30-027,26,completion-quality,baseline,true,false,,1,0,0,0,false,5,5,1,57,329,166,0.001986,
GATE-30,20260818,1/1,gate-30-028,27,completion-quality,baseline,true,true,true,1,0,0,0,false,3,3,1,58,370,94,0.001492,
GATE-30,20260818,1/1,gate-30-029,28,completion-quality,baseline,true,false,,1,0,0,0,false,5,5,1,40,502,96,0.001772,
GATE-30,20260818,1/1,gate-30-030,29,completion-quality,baseline,true,true,true,1,0,0,0,false,3,3,1,78,405,206,0.002458,
GATE-30,20260818,1/1,gate-30-001,0,crash-recovery,no-wal,true,true,true,2,1,0,0,false,2,2,1,109,772,382,0.0046,
GATE-30,20260818,1/1,gate-30-002,1,crash-recovery,no-wal,true,true,true,2,1,0,0,false,2,2,1,115,784,248,0.003552,
GATE-30,20260818,1/1,gate-30-003,2,crash-recovery,no-wal,true,true,true,2,1,0,0,false,2,2,1,118,798,298,0.00398,
GATE-30,20260818,1/1,gate-30-004,3,crash-recovery,no-wal,true,true,true,2,1,0,0,false,2,2,1,127,462,462,0.00462,
GATE-30,20260818,1/1,gate-30-005,4,crash-recovery,no-wal,true,true,true,2,1,0,0,false,2,2,1,105,804,478,0.005432,
GATE-30,20260818,1/1,gate-30-006,5,crash-recovery,no-wal,true,true,true,2,1,0,0,false,2,2,1,125,510,468,0.004764,
GATE-30,20260818,1/1,gate-30-007,6,parent-child,no-wal,true,true,true,7,1,0,0,false,2,2,1,208,2345,945,0.01225,
GATE-30,20260818,1/1,gate-30-008,7,parent-child,no-wal,true,true,true,5,1,0,0,false,2,2,1,203,1805,1080,0.01225,
GATE-30,20260818,1/1,gate-30-009,8,parent-child,no-wal,true,true,true,7,1,0,0,false,2,2,1,220,2513,791,0.011354,
GATE-30,20260818,1/1,gate-30-010,9,parent-child,no-wal,true,true,true,5,1,0,0,false,2,2,1,189,2540,1195,0.01464,
GATE-30,20260818,1/1,gate-30-011,10,parent-child,no-wal,true,true,true,4,1,0,0,false,2,2,1,137,1004,644,0.00716,
GATE-30,20260818,1/1,gate-30-012,11,parent-child,no-wal,true,true,true,4,1,0,0,false,2,2,1,154,1712,948,0.011008,
