benchmark,seed,shard,caseId,caseIndex,family,checkpoint,variant,taskSuccess,recoveryAttempted,recoverySuccess,snapshotReloaded,stateFileWrites,stateFileLoads,modelCalls,duplicateModelCalls,toolEffects,duplicateToolEffects,unknownOutcome,evidenceCompleteness,recoveryResult,wallClockDurationMs,failureCodes
Runtime-E2E-GATE-30,20260819,1/1,model-response-window-001,0,model-response-window,response-received,baseline,true,true,true,true,6,3,1,0,0,0,false,1,response-replayed-without-provider-reissue,44.435,
Runtime-E2E-GATE-30,20260819,1/1,model-response-window-002,1,model-response-window,response-received-replay,baseline,true,true,true,true,6,3,1,0,0,0,false,1,response-replayed-without-provider-reissue,42.268,
Runtime-E2E-GATE-30,20260819,1/1,model-response-window-003,2,model-response-window,committed-replay,baseline,true,true,true,true,6,3,1,0,0,0,false,1,response-replayed-without-provider-reissue,49.912,
Runtime-E2E-GATE-30,20260819,1/1,model-response-window-004,3,model-response-window,submitted-unknown,baseline,true,true,true,true,6,3,1,0,0,0,false,1,response-replayed-without-provider-reissue,54.104,
Runtime-E2E-GATE-30,20260819,1/1,model-response-window-005,4,model-response-window,assistant-commit,baseline,true,true,true,true,6,3,1,0,0,0,false,1,response-replayed-without-provider-reissue,49.757,
Runtime-E2E-GATE-30,20260819,1/1,tool-effect-window-001,5,tool-effect-window,result-received,baseline,true,true,true,true,14,3,2,0,1,0,false,1,tool-result-replayed-without-effect-reissue,106.816,
Runtime-E2E-GATE-30,20260819,1/1,tool-effect-window-002,6,tool-effect-window,result-replay,baseline,true,true,true,true,14,3,2,0,1,0,false,1,tool-result-replayed-without-effect-reissue,96.261,
Runtime-E2E-GATE-30,20260819,1/1,tool-effect-window-003,7,tool-effect-window,tool-commit,baseline,true,true,true,true,14,3,2,0,1,0,false,1,tool-result-replayed-without-effect-reissue,98.894,
Runtime-E2E-GATE-30,20260819,1/1,tool-effect-window-004,8,tool-effect-window,continuation,baseline,true,true,true,true,14,3,2,0,1,0,false,1,tool-result-replayed-without-effect-reissue,115.192,
Runtime-E2E-GATE-30,20260819,1/1,tool-effect-window-005,9,tool-effect-window,effect-journal,baseline,true,true,true,true,14,3,2,0,1,0,false,1,tool-result-replayed-without-effect-reissue,103.701,
Runtime-E2E-GATE-30,20260819,1/1,return-parent-feedback-001,10,return-parent-feedback,return-claim,baseline,true,true,true,true,2,3,0,0,1,0,false,1,return-claimed-and-consumed-once,24.051,
Runtime-E2E-GATE-30,20260819,1/1,return-parent-feedback-002,11,return-parent-feedback,return-consume,baseline,true,true,true,true,2,3,0,0,1,0,false,1,return-claimed-and-consumed-once,25.126,
Runtime-E2E-GATE-30,20260819,1/1,return-parent-feedback-003,12,return-parent-feedback,product-feedback,baseline,true,true,true,true,18,3,6,0,0,0,false,1,workflow-checkpoint-restored,131.287,
Runtime-E2E-GATE-30,20260819,1/1,return-parent-feedback-004,13,return-parent-feedback,engineering-feedback,baseline,true,true,true,true,18,3,6,0,0,0,false,1,workflow-checkpoint-restored,136.27,
Runtime-E2E-GATE-30,20260819,1/1,return-parent-feedback-005,14,return-parent-feedback,quality-feedback,baseline,true,true,true,true,18,3,6,0,0,0,false,1,workflow-checkpoint-restored,141.073,
Runtime-E2E-GATE-30,20260819,1/1,workflow-stage-001,15,workflow-stage,product,baseline,true,true,true,true,14,3,5,0,0,0,false,1,workflow-checkpoint-restored,98.261,
Runtime-E2E-GATE-30,20260819,1/1,workflow-stage-002,16,workflow-stage,engineering,baseline,true,true,true,true,14,3,5,0,0,0,false,1,workflow-checkpoint-restored,147.673,
Runtime-E2E-GATE-30,20260819,1/1,workflow-stage-003,17,workflow-stage,quality,baseline,true,true,true,true,14,3,5,0,0,0,false,1,workflow-checkpoint-restored,224.039,
Runtime-E2E-GATE-30,20260819,1/1,workflow-stage-004,18,workflow-stage,lead,baseline,true,true,true,true,14,3,5,0,0,0,false,1,workflow-checkpoint-restored,216.655,
Runtime-E2E-GATE-30,20260819,1/1,workflow-stage-005,19,workflow-stage,return-god,baseline,true,true,true,true,14,3,5,0,0,0,false,1,workflow-checkpoint-restored,218.457,
Runtime-E2E-GATE-30,20260819,1/1,snapshot-reload-001,20,snapshot-reload,in-progress-turn,baseline,true,true,true,true,3,3,0,0,0,0,true,1,submitted_outcome_unknown,63.691,
Runtime-E2E-GATE-30,20260819,1/1,snapshot-reload-002,21,snapshot-reload,model-wal,baseline,true,true,true,true,3,3,0,0,0,0,true,1,submitted_outcome_unknown,67.305,
Runtime-E2E-GATE-30,20260819,1/1,snapshot-reload-003,22,snapshot-reload,tool-wal,baseline,true,true,true,true,3,3,0,0,0,0,true,1,submitted_outcome_unknown,65.005,
Runtime-E2E-GATE-30,20260819,1/1,snapshot-reload-004,23,snapshot-reload,agent-runtime,baseline,true,true,true,true,3,3,0,0,0,0,true,1,submitted_outcome_unknown,59.709,
Runtime-E2E-GATE-30,20260819,1/1,snapshot-reload-005,24,snapshot-reload,workflow-checkpoint,baseline,true,true,true,true,3,3,0,0,0,0,true,1,submitted_outcome_unknown,63.768,
Runtime-E2E-GATE-30,20260819,1/1,multi-instance-lease-001,25,multi-instance-lease,job,baseline,true,true,true,true,1,2,0,0,1,0,false,1,one-lease-winner-one-conflict,60.229,
